牛博 超话 6月27日 湖北 宜昌 暴雨 三峡 加大 泄洪 量 全市 水淹 被淹 居民 只能 高层 移。 洒水车 清洗 ######微博 	晚间 快乐 	希望 好心情 照常 营业 ，烦 心事 永久 打烊 ######rumor
胖 虎鲸 查 下距离 ，百步亭距病毒 源头 七公里 点 武汉 托 武汉 发布 @平安武汉 疫情 结束 前 活动 提前 制止 钟南山 肯定 新型 组图 2张  原图 ######住 协和 对面 ，离 华南 海鲜 三公里 一点 发烧 医院 做 检查 明天 	住 兴业路 	武汉 加油 ######nonrumor
成都 发布 四川 两例 疑似 新型 冠状病毒 感染 肺炎 病例 1月16日以来 四川 成都 广安 发现 1例 疑似 新型 冠状病毒感染 患者 两名 患者 武汉 川， 隔离 诊疗 患者 相关 样本 程序 复核 确诊 社会 公布 国家 卫生 健康 委 公布 武汉 不明 原因 肺炎 疫情 四川省委 省政府 高度 重视 省 卫生 健康 委 响应 发热 门诊 相关 工作 公共场所 防控 措施 疑似 病例 诊治 、密切接触者调查 医学 观察 专家 提醒 ：冬 春季 呼吸道 传染病 高发 季节 做好 卫生 防护 室内 空气流通， 人群 地方 空气 流通 公众 场合 必要时 佩带 口罩 特别 持续 发热 退 医疗 机构 发热 门诊 就诊。 健康 四川 官微 原图 ######建议 武汉 先 隔离  	问 成都 确诊 地方 	回复 瑞香风 其他人 传染 隔离 武汉 杜绝 ######nonrumor
萝 医务人员 传染 新型 五例 发展 ######回复 白龙马 不取西经 害怕 ，瑟瑟 发抖 	小心 	######nonrumor
成都 发布 四川 两例 疑似 新型 冠状病毒 感染 肺炎 病例 1月16日以来 四川 成都 广安 发现 1例 疑似 新型 冠状病毒感染 患者 两名 患者 武汉 川， 隔离 诊疗 患者 相关 样本 程序 复核 确诊 社会 公布 国家 卫生 健康 委 公布 武汉 不明 原因 肺炎 疫情 四川省委 省政府 高度 重视 省 卫生 健康 委 响应 发热 门诊 相关 工作 公共场所 防控 措施 疑似 病例 诊治 、密切接触者调查 医学 观察 专家 提醒 ：冬 春季 呼吸道 传染病 高发 季节 做好 卫生 防护 室内 空气流通， 人群 地方 空气 流通 公众 场合 必要时 佩带 口罩 特别 持续 发热 退 医疗 机构 发热 门诊 就诊。 健康 四川 官微 原图 ######建议 武汉 先 隔离  	问 成都 确诊 地方 	回复 瑞香风 其他人 传染 隔离 武汉 杜绝 ######nonrumor
理由 言简意赅， 春运 期间 没办法 远离 人群 密集 一定要 戴口罩 戴口罩 戴口罩 记得 勤洗手  原始 用户  央视 新闻  内容 钟南山 肯定 新型 钟南山： 资料 新型 冠状病毒肺炎 肯定 广东 2个 病例 去过 武汉 家人 武汉 染上 新型 冠状病毒肺炎， 可以说 肯定 有人 现象 央视 新闻 微博 视频 ######不太 出门 吃 东西 一万 就怕 反正 口罩 准备好 保护 	希望 人员 感染 医护人员 	出门 一定要 做好 紧急 预防  生病 ######nonrumor
端 姐姐 医务人员 传染 新型 冠状病毒肺炎 保佑 哥哥 嫂子 安好， 都是 武汉医院 医生 医护人员 致敬 ######保佑 ，平平安安  	平安 	保佑， 平安 ######nonrumor
可可豆粥 文科生 懂 梗 政治 生活 知识 解释 果 重视 信管怡情肺炎 防控 原因 ######回复 一只 索拉卡啵 国家 性质 答 点 	国 当家作主 国家  政府 为人民服务 宗旨 负责 原则  履行 国家 职能  党 党 公执政 民 	 新 冠 疫情 惯性 输入法 ######nonrumor
仰止 条侯 全球 疫情 非洲 新冠 肺炎 确诊 病例 累计 超 10万例 非洲疾控中心 发布 数据 东部 非洲 时间 5月22日 17:00 非洲 地区 报告 新 冠 肺炎 确诊 病例 累计 超过 10万例 100330例 3101例 死亡 病例 39416例 治愈 病例 南非 埃及 两国 确诊 超过 1万例 19137例 15003例 新 源自  原图 ######互动 停 		缺乏 安全感 胆子 性格 敏感  热情 热情 一丝 不对劲 绕路 保护 请 务必 伤害 够 辛苦 ######nonrumor
内蒙古 反 邪教 四川 21日 新增 2例 确诊 病例 菲律宾 同机 人员 隔离 四川 新增 境外 输入 2例# 5月21日 四川 新增 两例 新 冠 肺炎 确诊 病例 菲律宾 输入 引发 网民 关注 记者 走访 省卫生健康委 应对 新型 冠状病毒 疫情 防控 专家 组 组长 省疾病预防控制中心 主任 医师 祝小平 祝小平 介绍 两名 境外 输入 确诊 病例 定点医院 隔离 治疗 。待 症状 好转 2次 核酸 连续 检测 阴性 时 ，方可 转 隔离 点 隔离 观察 14天 居家 医学 观察 14天 2例 确诊 病例 同机 乘客 157 26 密切接触者， 隔离 观察点 隔离 医学 观察 乘客 定点宾馆 隔离 医学 观察 。待 14天 核酸 检测 阴性 时 进一步 居家 医学 观察 7天 人员 省 相关 规程 管理 到位 群众 传播 风险 祝小平 四川省 入境 人员 入境 转运 大巴 转送 隔离 点 隔离 14天 两次 核酸 检测 阴性 回到 社区 请 群众 放心 需 外出 时 做好 家人 防护 原图 ######四川 21日 新增 2例 确诊 病例 菲律宾 同机 人员 隔离 	四川 21日 新增 2例 确诊 病例 菲律宾 同机 人员 隔离 四川 新增 境外 输入 2例# 5月21日 四川 新增 两例 新 冠 肺炎 确诊 病例 菲律宾 输入 引发 网民 关注 	四川 21日 新增 2例 确诊 病例 菲律宾 同机 人员 隔离 内蒙古 反 邪教 ######nonrumor
张小勇 柳叶刀 发布 陈薇 团队 新冠 疫苗 试验  国防 军事 早报 重组 新冠 疫苗 科研 团队 带头人 陈薇， 探索 生物科学 永不 停歇 全球 新 冠 肺炎 疫情 最新消息 西安 Y 张小勇 微博 视频  显示 地图 ######致敬 	互动 	找出 攻克病毒 抗体  陈薇 时间 科研 实验室 里  长年 家里 聚 少离 敬佩 ######nonrumor
央视 新闻 【世卫组织：# 全球 新 冠 肺炎 累计 确诊 超 500万例 当地时间 22日 ，世卫 组织 总干事 谭德塞 发布会 全球 新 冠 肺炎 病例 超 500万例 总 台 记者 朱赫）  原图 ######这话 好听 数字 麻木 	美国 一支 毒秀 	美国 奇怪 地方 做贡献 ######nonrumor
宋中清 主任 律师 肺炎 超话 视频 韩国 周岁宴 暴发 群体 疫情 1岁 女婴 中国 客人 感染 】#聚餐传播# 5月22日 韩 媒 称 一场 周岁宴 暴发 聚集性 疫情 迄今 感染 人数 增至 包括 一名1岁 女婴 父母 外祖 父母 宾客 周岁宴 疫情 源头 追溯 一名 隐瞒 夜店 行程 确诊 教师 老师 前往 暴发 疫情 梨泰院夜店， 隐瞒 行程 上课 韩国 新型 肺炎 疫情 显示 地图 ######一如既往  	互动 不能少 	好文 就该 分享 ######nonrumor
桂林 新鲜事 三名 高校 学生 疑似 桂林 三名 高校 学生 疑似 新 5月21日 ，据 桂林市 新型 冠状病毒感染 肺炎 疫情 防控 工作 领导小组 指挥部 复学 工作 专项 小组 消息 近日 驻 桂林 高等院校 三名 学生 返校 过程 中 新 冠 肺炎 复阳者 公共交通工具 返校 家人 疑似 症状 情况 现 三名 疑似 接触者 情 情况 公布 显示 地图  组图 3张  原图 ######就是为了 地方 gdp 喜欢 开学 	学校 依旧 这事 压 告诉 学生 有人 悄悄 约 谈话 	地方 每一个 学生 做 核酸 检测 桂林 可惜 穷 ######nonrumor
龙魂 骑兵 网民 赞 中国 # 【# 中国 库存 口粮 供 全国 吃 一年 全球 新 冠 肺炎 疫情 蔓延 国家 增加 粮食 储备 国家 部长 韩长赋 人民大会堂 部长 通道 中国 两大 口粮 稻谷 小麦 自给率 百分之百， 库存 超过一年 产量 供 全国 吃 一年 ：“ 有人 担心 国家 会不会 发生 粮食 危机 肯定 地说 中国 发生 粮食 危机 #######超哥 乱 评 	兄弟 	######nonrumor
红星新闻 四川 21日 新增 2例 确诊 病例 菲律宾 同机 人员 隔离 四川 新增 境外 输入 2例# 5月21日 四川 新增 两例 新 冠 肺炎 确诊 病例 菲律宾 输入 引发 网民 关注 记者 走访 省卫生健康委 应对 新型 冠状病毒 疫情 防控 专家 组 组长 省疾病预防控制中心 主任 医师 祝小平 祝小平 介绍 两名 境外 输入 确诊 病例 定点医院 隔离 治疗 。待 症状 好转 2次 核酸 连续 检测 阴性 时 ，方可 转 隔离 点 隔离 观察 14天 居家 医学 观察 14天 2例 确诊 病例 同机 乘客 157 26 密切接触者， 隔离 观察点 隔离 医学 观察 乘客 定点宾馆 隔离 医学 观察 。待 14天 核酸 检测 阴性 时 进一步 居家 医学 观察 7天 人员 省 相关 规程 管理 到位 群众 传播 风险 祝小平 四川省 入境 人员 入境 转运 大巴 转送 隔离 点 隔离 14天 两次 核酸 检测 阴性 回到 社区 请 群众 放心 需 外出 时 做好 家人 防护 原图 ######回复 @果果喵儿 不管机 有无 入境 隔离 14天 	回复 Milkkiey 嗯嗯 	回复 七夕 久久 rainy 隔离 ######nonrumor
长安皖 韵 中国 库存 口粮 供 全国 吃 一年 全球 新 冠 肺炎 疫情 蔓延 国家 增加 粮食 储备 国家 部长 韩长赋 人民大会堂 部长 通道 中国 两大 口粮 稻谷 小麦 自给率 百分之百， 库存 超过一年 产量 供 全国 吃 一年 ：“ 有人 担心 国家 会不会 发生 粮食 危机 肯定 地说 中国 发生 粮食 危机 ######中国 库存 口粮 供 全国 吃 一年 	中国 库存 口粮 供 全国 吃 一年 	中国 库存 口粮 供 全国 吃 一年 ######nonrumor
央视 新闻 美国 新冠 肺炎 确诊 数 超 154万# 约翰斯·霍普金斯 大学 数据 美东 时间 20日 16 55， 美国 新冠 肺炎 确诊 病例 1547353 例， 死亡 93119例 纽约 时报 统计 过去14天以来 包括 得克萨斯州 在内 9个 州 新增 病例 央视 记者 王逢治）  原图 ######神 还原 美国 电梯 里 放屁 中国 闻到 味道 屏住 呼吸 欧洲 嘲笑 中国 闻到 味道 差点 晕 美国 闻到 全世界 喊道 中国 放 低头 一看 美国 裤裆 糊 	特朗普 全家 感染  美国 疫情 算  疫情 控制 住 没有人 懂 病毒 	数字 背后 一个个 家庭 支离破碎 ，美政府 无能 无辜 老百姓 买单 嘲笑 特朗普 愚蠢， 幸灾乐祸 美国 人民， 人类 都是 休戚与共 人类 命运 共同体 ######nonrumor
人民日报 美国 新冠 肺炎 超 215万#，#美 专家 称 美国 病例 增速 超过 检测 增速 】据 疫情 实时 监测 系统 显示 美东 时间 美国 已有 新 冠病毒感染 病例 2157768例 包括 死亡 病例 117622例 美国 新增 感染 病例 25597例 新增 死亡 病例 834例 美国 政界 人士 病例 数 增加 归因 检测 能力 提高 公共卫生 专家 美国 病例 激增 速度 超过 检测 增长速度 宾夕法尼亚大学 医学 伦理 卫生 政策 系主任 伊泽基尔·伊曼纽尔 当你 病例 数量 增加 50% 150% 南部州 情况 检测 能力 提高 新 病例 社区 传播 。”（人民日报 记者 郑琪 原图 ######增加 300万 北京 增加 一例 重视 国家 也许 数字 一个人 生命 健康 	关心 美国 疫情 爱 关心 国内 疫情 	稳定 增长 ######nonrumor
宋中清 主任 律师 肺炎 超话 孙雨林原住民 感染 新冠 肺炎 疑问 蔓延 南美洲 蔓延 亚马 孙雨林 偏远 地区 西班牙 媒体 报道 位于 秘鲁 原住民 居住区 17例 确诊 病例 警告 称 疫情 蔓延 缺少 免疫力 原住民 将会 死亡 秘鲁 20个 部落 与世隔绝 生活 缺乏 防疫 物资 面临 更大 风险 原住民 试图 封锁 道路 外界 隔绝， 法院 禁止 敦促 打开 道路 ######，常互动！ 	晚上 	。。。。。。。 ######nonrumor
橄果山 主人 中印边境冲突# 当年 印度 入侵 作 一声 自卫 反击 ，胜利 撤军 弃 战果 数度 谈判 ，欲 土地 换 和平 ，越界破坏， 公布 情况 中国 一些年 中国 国力 换 友好 新 冠 肺炎 中国 成绩 换 认可 中国 白痴 无限 忍让 无度 捐爱 无力 反驳 愿 天下 解 惑者 解 吾 惑。 多谢 ######什么叫 公布 很明显 印度 吃亏 我方 两个 重伤 涉及 生命 危险 几个 轻伤， 兔子 不干 吃亏 事， 做 少 不欺人 太 甚 留 点 面子 。军区 做好 升级 ，毛 不知道 瞎 鸡 胡扯 疫情 成绩 换 友好 是因为 西方 社会 优越感 平衡 ，帝国 亡 心 不死 	重伤 2个  牺牲 非 说出来  印度 激烈 	放弃 藏南， 藏南 易 攻 难 守 后勤 放弃 选择 法理 承认 印度 将来 搞 事情 阿克赛钦， 控制 阿克赛钦 讲 好像 握住 印度 蛋蛋， 难受 死。 水平 低 点 放弃 藏南 教员 同事们 决策 看不懂 喷。 ######nonrumor
玉林市生态环境局 近期 高 风险 地区  返 ）玉 人员 须 第一时间 报告 玉林日报讯 北京市 连续 新增 多例 新型 冠状病毒肺炎 确诊 病例 6月16日 市民 发布 疫情 防控 提示 ：一、 本市 居民 近14天 中高 风险 地区 旅居史 中高风险地区 人员 接触 史， 特别 5月30日以来 北京新发地 批发市场 、京 深 海鲜 批发市场 来往史 人员 请 主动 居住 地村 社区 报备 情况 相关 防控 配合 落实 防控 措施 原因 未 报备 如实 提供 信息 疫情 扩散 依法 追究 相关 责任 ，号召 全市 群众 监督 举报 发现 身边 未 报备 人员 请 居住 地村 社区 举报 维护 市 来之不易 防控 成果 即时 ，凡 14天 高风险 地区 玉 返 玉 人员 ，须 持有 健康 绿码 7天内 核酸 检测 阴性 证明 入 玉。 入 玉 未 14天 人员 外出 未 做 核酸 检测 组织 补做 核酸 检测 检测 费用 自理 核酸 检测 阳性 转送 定点收治医院 诊治 检测 阴性 实施 居家 医学 观察 14天 三、 市民 非必要， 建议 近期 前往 中 高风险 地区 前往 请 提前 所在村 社区 工作单位 报备 外出 期间 务必 做好 防护 返 玉 主动 所在村 社区 工作单位 报备 相关 情况 发热、咳嗽 症状 佩戴 口罩 就近 发热 门诊 排查 诊疗 ，就医 过程 乘坐 公共交通工具 。  （ 本报 记者 ######		######nonrumor
兰州 微播 北京 新发地 农贸 批发 市场 连续 多日 新 冠 肺炎 确诊 病例 严峻 形势 快速 风险 控制 目的 强化 源头 终端 全 链条 管控 市场 管理 所为 单位 辖区 农贸市场 、商 超、生鲜超市、 食品 生产 企业 原料 库 冷库 追踪 溯源 排查 工作 GSTV 百姓 有话说 显示 地图 ######严把 食品 关 	第一时间 	计划 胜过 明天 完美 计划 ######nonrumor
静静地 hare 老百姓 关心 火车站 汽车站 机场 地方 还能 娃 出行 小孩 抵抗力 弱 没问题 戴口罩 公众 场合 点 ？年 关 节点 餐馆 聚餐 算 公众 场合 适合 娃 武汉 新型 冠状病毒肺炎 ######劝 老实 在家 别去 	别去 	密闭 空间人 地方 危险 餐馆 ######nonrumor
下岗 民工 再就业 快快乐乐 假期 第一天 就这样 回 武汉 真 开心 开心 喔 希望 肺炎 远离 所有我 喜欢 明年 努力工作 武汉  显示 地图  组图 4张  原图 ######回复 华晨宇 陈小莹 ing 	新闻 出门 	######nonrumor
羊 花菜 炒 蟹 全民 关注 武汉 肺炎 新增 病例 17例 ，病毒 防控 防治 升级 医药 股 早 异动 傅苏颖  中国 证券 报  原图 ######回复 荣扬 520 片仔癀 	回复 找 合适 名字 真难 	九芝堂 关注 一波 中药 股 爆发 ######nonrumor
鸟叔 操盘 新型 冠状病毒 传染 来源 尚未 找到 疫情 传播 途径 尚未 //【国家卫健委： 新型 冠状病毒感染 肺炎 疫情 防控 工作 1月19日 讯，国家卫生健康委 下一步 部门 协调 联动 落实 疫情 防 扩散 措施 做好 全国 疫情 防控 工作 发现 处置 疫情 组织 爱国 卫生 运动 加大 环境卫生 整治 力度 病毒溯源 变异 监测 工作 做好 应对 疫情 变化 技术 委 春节 期间 值班 值守 关注 疫情 防控 形势 发展 变化 指导 落实 防控 措施 专家 研判 疫情 仍可 防 可控。 新型 冠状病毒 传染 来源 尚未 找到 疫情 传播 途径 尚未 ，病毒变异 需 严密 监控 央视 19:20 ######美国人 投毒 没错 	划 重点 考 	医药 一波 ######nonrumor
新京报 武汉 肺炎 防控 方案 发 #： 发热 病人 须 询问 武汉 旅游史 】“ 武汉 肺炎 疫情 持续 新京报 19日 知情 人士处 获悉 国家卫健委 全国 医疗 机构 发 新型 冠状病毒诊疗 防控 指南 医院 接诊 发热病人 时 ，须 询问 2周内 武汉旅游史。 防控 方案 内容 详细 内容 多达 61页 涵盖 监测 流行病学 调查 、密切 接触者 追踪 管理 实验室 检测 内容 新型 冠状病毒 医疗 机构 发现 确诊 病例 诊疗 方案 病例 观察 阶段 患者 应 符合 条件 ：发病 前两周内 武汉市 旅游 史， 武汉市 相关 市场 特别 农贸市场 间接 接触 史。 临床 表现 发热 肺炎 影像学 特征 发病 早期 白细胞 总数 降低 淋巴 细胞 计数 减少 ；经 规范 抗菌 药物 治疗 3天 病情 改善 进行性 加重 确诊 病例 须 观察 病例 基础 采集 痰液 咽拭子 呼吸道 标本 病毒全基因组测序， 已知 新型 冠状病毒高度同源。 发现 病例 上报 方案 作出 诊疗 方案 医疗 机构 发现 符合 定义 观察 病例 隔离 治疗 2小时内 组织 院内 专家 会诊 报告 医疗 机构 相关 部门 辖区 疾控中心 ######道理 懂  配图 口罩 佩戴 方式 错误  固定 金属 条 鼻梁 	武汉 九省通衢啊，春运 好多 车 南来北往 武汉 一定要 控制 住 	回复 我知道 ######nonrumor
